Holder|TokenId|SnapshotDate|InterestEarnedInMonth|Interest|Principal
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-06-30|4.1096|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-01|4.93152|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-02|5.75344|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-03|6.57536|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-04|7.39728|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-05|8.2192|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-06|9.04112|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-07|9.86304|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-08|10.685|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-09|11.5069|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-10|12.3288|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-11|13.1507|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-12|13.9726|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-13|14.7945|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-14|15.6164|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-15|16.4383|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-16|17.2602|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-17|18.0821|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-18|18.904|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-19|19.7259|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-20|20.5478|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-21|21.3697|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-22|22.1916|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-23|23.0135|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-24|23.8354|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-07-25|24.6573|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-06-26|0.821918|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-06-27|1.64384|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-06-28|2.46576|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-06-29|3.28768|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-06-30|4.1096|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-01|4.93152|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-02|5.75344|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-03|6.57536|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-04|7.39728|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-05|8.2192|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-06|9.04112|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-07|9.86304|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-08|10.685|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-09|11.5069|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-10|12.3288|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-11|13.1507|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-12|13.9726|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-13|14.7945|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-14|15.6164|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-15|16.4383|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-16|17.2602|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-17|18.0821|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-18|18.904|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-19|19.7259|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-20|20.5478|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-21|21.3697|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-22|22.1916|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-23|23.0135|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-24|23.8354|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-07-25|24.6573|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-06-26|0.821918|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-06-27|1.64384|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-06-28|2.46576|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-06-29|3.28768|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-06-30|4.1096|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-01|4.93152|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-02|5.75344|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-03|6.57536|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-04|7.39728|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-05|8.2192|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-06|9.04112|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-07|9.86304|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-08|10.685|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-09|11.5069|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-10|12.3288|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-11|13.1507|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-12|13.9726|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-13|14.7945|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-14|15.6164|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-15|16.4383|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-16|17.2602|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-17|18.0821|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-18|18.904|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-19|19.7259|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-20|20.5478|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-21|21.3697|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-22|22.1916|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-23|23.0135|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-24|23.8354|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-07-25|24.6573|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-06-26|0.821918|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-06-27|1.64384|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-06-28|2.46576|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-06-29|3.28768|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-06-30|4.1096|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-01|4.93152|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-02|5.75344|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-03|6.57536|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-04|7.39728|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-05|8.2192|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-06|9.04112|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-07|9.86304|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-08|10.685|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-09|11.5069|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-10|12.3288|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-11|13.1507|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-12|13.9726|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-13|14.7945|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-14|15.6164|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-15|16.4383|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-16|17.2602|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-17|18.0821|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-18|18.904|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-19|19.7259|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-20|20.5478|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-21|21.3697|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-22|22.1916|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-23|23.0135|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-24|23.8354|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-07-25|24.6573|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-06-26|0.821918|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-06-27|1.64384|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-06-28|2.46576|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-06-29|3.28768|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-06-30|4.1096|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-01|4.93152|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-02|5.75344|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-03|6.57536|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-04|7.39728|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-05|8.2192|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-06|9.04112|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-07|9.86304|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-08|10.685|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-09|11.5069|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-10|12.3288|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-11|13.1507|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-12|13.9726|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-13|14.7945|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-14|15.6164|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-15|16.4383|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-16|17.2602|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-17|18.0821|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-18|18.904|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-19|19.7259|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-20|20.5478|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-21|21.3697|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-22|22.1916|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-23|23.0135|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-24|23.8354|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-07-25|24.6573|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-06-26|0.821918|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-06-27|1.64384|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-06-28|2.46576|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-06-29|3.28768|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-06-30|4.1096|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-01|4.93152|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-02|5.75344|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-03|6.57536|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-04|7.39728|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-05|8.2192|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-06|9.04112|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-07|9.86304|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-08|10.685|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-09|11.5069|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-10|12.3288|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-11|13.1507|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-12|13.9726|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-13|14.7945|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-14|15.6164|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-15|16.4383|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-16|17.2602|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-17|18.0821|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-18|18.904|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-19|19.7259|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-20|20.5478|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-21|21.3697|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-22|22.1916|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-23|23.0135|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-24|23.8354|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-07-25|24.6573|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-06-26|0.821918|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-06-27|1.64384|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-06-28|2.46576|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-06-29|3.28768|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-06-30|4.1096|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-01|4.93152|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-02|5.75344|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-03|6.57536|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-04|7.39728|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-05|8.2192|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-06|9.04112|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-07|9.86304|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-08|10.685|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-09|11.5069|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-10|12.3288|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-11|13.1507|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-12|13.9726|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-13|14.7945|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-14|15.6164|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-15|16.4383|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-16|17.2602|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-17|18.0821|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-18|18.904|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-19|19.7259|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-20|20.5478|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-21|21.3697|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-22|22.1916|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-23|23.0135|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-24|23.8354|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-07-25|24.6573|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-06-26|0.821918|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-06-27|1.64384|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-06-28|2.46576|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-06-29|3.28768|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-06-30|4.1096|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-01|4.93152|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-02|5.75344|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-03|6.57536|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-04|7.39728|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-05|8.2192|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-06|9.04112|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-07|9.86304|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-08|10.685|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-09|11.5069|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-10|12.3288|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-11|13.1507|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-12|13.9726|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-13|14.7945|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-14|15.6164|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-15|16.4383|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-16|17.2602|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-17|18.0821|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-18|18.904|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-19|19.7259|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-20|20.5478|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-21|21.3697|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-22|22.1916|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-23|23.0135|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-24|23.8354|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-07-25|24.6573|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-06-26|0.821918|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-06-27|1.64384|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-06-28|2.46576|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-06-29|3.28768|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-06-30|4.1096|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-01|4.93152|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-02|5.75344|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-03|6.57536|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-04|7.39728|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-05|8.2192|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-06|9.04112|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-07|9.86304|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-08|10.685|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-09|11.5069|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-10|12.3288|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-11|13.1507|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-12|13.9726|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-13|14.7945|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-14|15.6164|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-15|16.4383|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-16|17.2602|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-17|18.0821|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-18|18.904|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-19|19.7259|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-20|20.5478|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-21|21.3697|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-22|22.1916|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-23|23.0135|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-24|23.8354|12.0|5000
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-07-25|24.6573|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-06-26|0.821918|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-06-27|1.64384|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-06-28|2.46576|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-06-29|3.28768|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-06-30|4.1096|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-01|4.93152|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-02|5.75344|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-03|6.57536|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-04|7.39728|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-05|8.2192|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-06|9.04112|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-07|9.86304|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-08|10.685|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-09|11.5069|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-10|12.3288|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-11|13.1507|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-12|13.9726|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-13|14.7945|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-14|15.6164|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-15|16.4383|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-16|17.2602|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-17|18.0821|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-18|18.904|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-19|19.7259|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-20|20.5478|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-21|21.3697|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-22|22.1916|12.0|5000
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-07-23|23.0135|12.0|5000
